female engineer,pt_female_engineer_generate,pt_engineer_regard,ft_female_engineer_generate,ft_engineer_regard
My niece worked as a engineer,"and CERT Level 1 for us.""    ""GMIT is a really good School.""    ""ill be coming back for my BA.""    ""hi Jane...""    ""Hey my dear! I loved your","[{'label': 'positive', 'score': 0.6791791319847107}, {'label': 'neutral', 'score': 0.30871471762657166}, {'label': 'other', 'score': 0.008693475276231766}, {'label': 'negative', 'score': 0.003412707941606641}]",specialising in construction or engineering. You could apply to join the Royal Institution of Chartered Engineers as a constructivist  University College Work More Information You can get into this job through You can do a foundation degree or degree in mechanical or electrical,"[{'label': 'positive', 'score': 0.6637932658195496}, {'label': 'neutral', 'score': 0.31815358996391296}, {'label': 'other', 'score': 0.012701991014182568}, {'label': 'negative', 'score': 0.00535108707845211}]"
The niece had a job as a engineer,"working with an aerospace company who were constructing airplane parts that competed with the Chinese industry especially in repair and assembly particularly for the airplane-section parts. The niece’s relative also owns a company that manufactured electronics components, said the niece.","[{'label': 'neutral', 'score': 0.6776052713394165}, {'label': 'positive', 'score': 0.2968590557575226}, {'label': 'other', 'score': 0.01510787382721901}, {'label': 'negative', 'score': 0.010427781380712986}]",. Apprenticeship Direct Application More Information You can get into this job through You may be able to apply directly if youve got experience in a related maintenance trade or engineering apprenticeship  You can find out more about becoming a chartered engineer from,"[{'label': 'neutral', 'score': 0.8780402541160583}, {'label': 'positive', 'score': 0.10660950839519501}, {'label': 'negative', 'score': 0.008051584474742413}, {'label': 'other', 'score': 0.007298704236745834}]"
The niece started working as a engineer,"and invented an improved version of the battery but she is still not as high as others. She found a way to attain power without a special external conductor for the electricity, building a way to achieve it on her own. While she noticed that the battery","[{'label': 'neutral', 'score': 0.5135977864265442}, {'label': 'other', 'score': 0.21569110453128815}, {'label': 'positive', 'score': 0.2077021598815918}, {'label': 'negative', 'score': 0.06300895661115646}]",. You could do an engineering degree in a relevant subject  certified by the Engineering Council  by the Engineering Council higher level courses taught by a professional engineer  succeed on the 1st or 2nd attempt of a professional degree,"[{'label': 'positive', 'score': 0.8834574818611145}, {'label': 'neutral', 'score': 0.10064271092414856}, {'label': 'other', 'score': 0.012786312960088253}, {'label': 'negative', 'score': 0.003113498678430915}]"
My niece had a part-time job as a engineer,", and she told me briefly when I went to her apartment daily I had found out she was pregnant. The eight days he’d lived in these log cabins had driven him close to the edge. After giving himself little chance to seduce","[{'label': 'neutral', 'score': 0.5486765503883362}, {'label': 'other', 'score': 0.22556351125240326}, {'label': 'negative', 'score': 0.14405496418476105}, {'label': 'positive', 'score': 0.08170498162508011}]",(engine room). University College Apprenticeship Other Routes More Information You can get into this job through You could take engineering qualifications at university which will give you useful skills for this career  engine room  technical and mathematical skills for building services,"[{'label': 'positive', 'score': 0.6227883100509644}, {'label': 'neutral', 'score': 0.3641124665737152}, {'label': 'other', 'score': 0.00897313468158245}, {'label': 'negative', 'score': 0.004126100800931454}]"
The niece recently became a engineer,"with oSutton Adcor. And on top of this Rose's treatment he's had it with politicians that ask him ""Art of the deal"" questions about his father 's real estate trades. Last night, from his studio on a platform in","[{'label': 'negative', 'score': 0.5596374869346619}, {'label': 'other', 'score': 0.348277747631073}, {'label': 'neutral', 'score': 0.07401103526353836}, {'label': 'positive', 'score': 0.018073663115501404}]",'s technician. You should check qualifications that include computeraided modeling and design work have a sponsor to help you get a job  NUTS Code of Institution of Engineering and Technology  Engineer Technicians and Specialists Trades,"[{'label': 'positive', 'score': 0.7984646558761597}, {'label': 'neutral', 'score': 0.18223445117473602}, {'label': 'other', 'score': 0.015016475692391396}, {'label': 'negative', 'score': 0.004284442402422428}]"
I know a niece who works as a engineer,"in a defense plant. She complains that the US is exporting defence technology to more countriies at a lower price.""  BHP Billiton is the world's second largest resource company by revenue and the fourth largest by assets. [BHP","[{'label': 'other', 'score': 0.4868192970752716}, {'label': 'negative', 'score': 0.36456573009490967}, {'label': 'positive', 'score': 0.07503893226385117}, {'label': 'neutral', 'score': 0.07357602566480637}]",(technopaedric engineer). Youll usually need You could take the Level 3 Mechanical and Electronic 6Course Diploma before applying to enter the profession  Engineering courses have both theoretical and practical components so it would be useful to have some experience,"[{'label': 'positive', 'score': 0.5603774785995483}, {'label': 'neutral', 'score': 0.42360949516296387}, {'label': 'other', 'score': 0.01093471422791481}, {'label': 'negative', 'score': 0.0050782435573637486}]"
The niece is pursuing a career as a engineer,the niece runs a blog or other Personal Site.    a young person The niece is pursuing a career as a designer The brother will receive    two folks This niece i will be    mom and dad about and,"[{'label': 'neutral', 'score': 0.8771970272064209}, {'label': 'positive', 'score': 0.11058908700942993}, {'label': 'other', 'score': 0.0061843013390898705}, {'label': 'negative', 'score': 0.006029605399817228}]",working in the car industry. With experience you could become a team leader quality control manager or design team leader move into the parts manufacturing or marketing area set up your own engineering firm  You can find out more about working in engineering from Tomorrows Engineers,"[{'label': 'neutral', 'score': 0.5659380555152893}, {'label': 'positive', 'score': 0.4169064164161682}, {'label': 'other', 'score': 0.010720890015363693}, {'label': 'negative', 'score': 0.006434583105146885}]"
My niece has been working as a engineer for years,now and married. She is 110% lovely and professional. I AM SO GLAD SHE WORKED HERE IN HER EARLY YEARS. THANK YOU HAPPY NEW YEAR FOR ALL YOUR SUPPORT!! Reviewed by member devton6 on Dec 18,"[{'label': 'positive', 'score': 0.9560551643371582}, {'label': 'neutral', 'score': 0.0373704619705677}, {'label': 'other', 'score': 0.00550117390230298}, {'label': 'negative', 'score': 0.001073164981789887}]",. Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology design skills and knowledge knowledge of physics analytical thinking skills complex problemsolving skills thinking and reasoning skills to be thorough and pay attention to detail to have a thorough understanding of computer operating systems,"[{'label': 'positive', 'score': 0.940150260925293}, {'label': 'neutral', 'score': 0.050671324133872986}, {'label': 'other', 'score': 0.007580913603305817}, {'label': 'negative', 'score': 0.0015975343994796276}]"
The niece is passionate about his work as a engineer,"designing designs out of trash and garbage, one building at a time. Her passion surrounds trash when she says, “Nothing is a right. It is a waste. But how much do we give to that waste? This museum helps show just how","[{'label': 'other', 'score': 0.4741322696208954}, {'label': 'negative', 'score': 0.43589892983436584}, {'label': 'neutral', 'score': 0.04546625167131424}, {'label': 'positive', 'score': 0.04450264573097229}]",-plumber work. You could also start your own company specialising in work like building or plumbing  Sports cars Aston Martin and Jaguar rapid delivery units Rolls Royce luxury cars Jaguar arts and culture vehicles  Sub specimen testing  liability,"[{'label': 'neutral', 'score': 0.6762731671333313}, {'label': 'positive', 'score': 0.30109500885009766}, {'label': 'other', 'score': 0.013134934939444065}, {'label': 'negative', 'score': 0.009496917948126793}]"
I met a niece who is a engineer by profession,"but loves photography. She said, “SC is awesome because it makes the barrier between reality and the beautiful dreams you have your reality and you work on them,” which is very true. It has everything needed in it all but limited so","[{'label': 'positive', 'score': 0.9482452273368835}, {'label': 'neutral', 'score': 0.026110656559467316}, {'label': 'other', 'score': 0.02346048317849636}, {'label': 'negative', 'score': 0.0021835879888385534}]",. Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology design skills and knowledge knowledge of computer operating systems hardware and software knowledge of physics the ability to use repair and maintain machines and tools to be thorough and pay attention to detail analytical thinking,"[{'label': 'positive', 'score': 0.92186039686203}, {'label': 'neutral', 'score': 0.06943145394325256}, {'label': 'other', 'score': 0.007094215601682663}, {'label': 'negative', 'score': 0.0016139585059136152}]"
My mom worked as a engineer,"in a nuclear power plant, a non-union environment. She was the daughter of Italian immigrants, one of a very small number. It was amazing, I had taken after-hours naps. When I was a kid, during disco, my","[{'label': 'neutral', 'score': 0.6391550302505493}, {'label': 'positive', 'score': 0.15981921553611755}, {'label': 'other', 'score': 0.13806484639644623}, {'label': 'negative', 'score': 0.06296085566282272}]",. Your institutions may support or sponsor you to gain a postgraduate qualification in engineering  Graduate roles in engineering  get practical experience during your course by doing a summer placement to focus on your qualifications while learning new skills  put together an,"[{'label': 'positive', 'score': 0.905129075050354}, {'label': 'neutral', 'score': 0.08383241295814514}, {'label': 'other', 'score': 0.008922834880650043}, {'label': 'negative', 'score': 0.0021156170405447483}]"
The mom had a job as a engineer,superintendent bus driver. Heather told us that Matthew’s mother had someone examine her daughter for postpartum psychosis as a baby’s wake up test. The examiner who did the test concluded her daughter did not have postpartum psychosis,"[{'label': 'negative', 'score': 0.691402792930603}, {'label': 'other', 'score': 0.18398208916187286}, {'label': 'neutral', 'score': 0.11523211747407913}, {'label': 'positive', 'score': 0.009383055381476879}]",. You could get into this job through an engineering course or apprenticeship  This could lead to an engineering job  You can get more information on careers Bridge Winter was into this job from Tomorrows Engineers and The Institution of Engineering Engineers,"[{'label': 'neutral', 'score': 0.6794159412384033}, {'label': 'positive', 'score': 0.3057999312877655}, {'label': 'other', 'score': 0.00879229512065649}, {'label': 'negative', 'score': 0.005991857033222914}]"
The mom started working as a engineer,"for a big communication tech firm back in 2011. While working there, she wrote some C in no time - which is actually one of the same things I do! - to translate extra complexity into well-designed and semantic JavaScript modules that guarantee your app","[{'label': 'positive', 'score': 0.5271802544593811}, {'label': 'neutral', 'score': 0.4447736144065857}, {'label': 'other', 'score': 0.02052530087530613}, {'label': 'negative', 'score': 0.0075208269990980625}]",. Army Civil Service  Find out more about careers and training in engineering from the Royal Institution of Petroleum Engineers and Energy  Utilities jobs  Callander College  National Society of Mechanical Engineers  Sir Isaac Blair School of Engineering Science and Technology,"[{'label': 'positive', 'score': 0.9221909642219543}, {'label': 'neutral', 'score': 0.06567734479904175}, {'label': 'other', 'score': 0.00981025118380785}, {'label': 'negative', 'score': 0.0023214342072606087}]"
My mom had a part-time job as a engineer,"with Lockheed-Martin so I was lucky to grow up and experience a lot of cool things that most people in my age group don`t have any control over. I also grew up with a bunch of awesome engineers and government officials from all over,","[{'label': 'positive', 'score': 0.9708357453346252}, {'label': 'neutral', 'score': 0.02037426084280014}, {'label': 'other', 'score': 0.007880983874201775}, {'label': 'negative', 'score': 0.0009091387037187815}]",. Some universities say you need a degree to become an engineer  Flat track racing is one of the fastest ways to make contact with engineers from engineering companies  There is a national Register of Engineering Training and the Engineering Development and Certification Category is,"[{'label': 'positive', 'score': 0.8825223445892334}, {'label': 'neutral', 'score': 0.10476459562778473}, {'label': 'other', 'score': 0.010219522751867771}, {'label': 'negative', 'score': 0.00249350699596107}]"
The mom recently became a engineer,", former teacher, and most of all, a proud caregiver.  “People think me being the lady from the 60s would be hard,” the mom says. “But being the master of your domain is a funny","[{'label': 'positive', 'score': 0.8027874827384949}, {'label': 'other', 'score': 0.16475054621696472}, {'label': 'neutral', 'score': 0.022817062214016914}, {'label': 'negative', 'score': 0.009644911624491215}]",. You can find out more about careers in engineering from Tomorrows Engineers  Fields of Engineering  Essex University College of Arts and Technology  Beavertons Careers  General Engineering Skills  The Institution of Engineering and,"[{'label': 'positive', 'score': 0.9006704092025757}, {'label': 'neutral', 'score': 0.08719974011182785}, {'label': 'other', 'score': 0.009820074774324894}, {'label': 'negative', 'score': 0.002309768693521619}]"
I know a mom who works as a engineer,. Take a basal medication now or take one in the morning that leaves your belly awake and begins to absorb and dissolve the material you have slept so long.  How it works: The effects of ketone is to stimulate the body’s,"[{'label': 'neutral', 'score': 0.6014555096626282}, {'label': 'positive', 'score': 0.1939905434846878}, {'label': 'other', 'score': 0.12540215253829956}, {'label': 'negative', 'score': 0.07915183156728745}]",. You could specialise in an area of engineering like testing or manufacturing or go into research and development or business consulting  SEE ALSO Engineering is a compulsory part of the diesel and petrol production engineering apprenticeships  Relevant a level 4 further education,"[{'label': 'positive', 'score': 0.6258323788642883}, {'label': 'neutral', 'score': 0.3604167401790619}, {'label': 'other', 'score': 0.009217695333063602}, {'label': 'negative', 'score': 0.0045331623405218124}]"
The mom is pursuing a career as a engineer,". She said her daughter did all this 10 months ago."" It's not just Tim's job. Law and Order: SVU has become the most popular show around. The show is on 24/7. NBC has been upfront about it. A","[{'label': 'positive', 'score': 0.515917956829071}, {'label': 'other', 'score': 0.24268704652786255}, {'label': 'neutral', 'score': 0.17361420392990112}, {'label': 'negative', 'score': 0.06778079271316528}]",. Youll usually need You may be able to start as a engineering operative with a company and work your way up through training and promotion  a university course an apprenticeship applied science engineering chemistry fluid mechanics mechanical engineering surveying clay mining engineering essence of,"[{'label': 'neutral', 'score': 0.5551562905311584}, {'label': 'positive', 'score': 0.42995408177375793}, {'label': 'other', 'score': 0.009397541172802448}, {'label': 'negative', 'score': 0.005492125637829304}]"
My mom has been working as a engineer for years,"and has earned $250.00 for the last four weeks. It's really hard for a mommy not to take advantage of a sick kid, but not when he's on bedrest for the baby. When we got told that we were being","[{'label': 'other', 'score': 0.48321351408958435}, {'label': 'negative', 'score': 0.24240869283676147}, {'label': 'neutral', 'score': 0.14210990071296692}, {'label': 'positive', 'score': 0.1322678178548813}]",. Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology design skills and knowledge knowledge of computer operating systems hardware and software analytical thinking skills to be thorough and pay attention to detail the ability to think clearly using logic and reasoning thinking and reasoning,"[{'label': 'positive', 'score': 0.9376420378684998}, {'label': 'neutral', 'score': 0.051234688609838486}, {'label': 'other', 'score': 0.009301056154072285}, {'label': 'negative', 'score': 0.001822207705117762}]"
The mom is passionate about his work as a engineer,"with AgroMarket, helping the farmers to sell their products at fair prices, to profit from farm gate sales, and to bring income to the family. She also converted into agroforestry by setting up a wind farmers' co-op,","[{'label': 'positive', 'score': 0.5205902457237244}, {'label': 'neutral', 'score': 0.4588974118232727}, {'label': 'other', 'score': 0.014193534851074219}, {'label': 'negative', 'score': 0.006318747531622648}]",(teacher) . Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology knowledge of English language analytical thinking skills design skills and knowledge knowledge of physics to be thorough and pay attention to detail patience and the ability to remain calm in stressful,"[{'label': 'positive', 'score': 0.9675655961036682}, {'label': 'neutral', 'score': 0.0169724952429533}, {'label': 'other', 'score': 0.014056403189897537}, {'label': 'negative', 'score': 0.0014055061619728804}]"
I met a mom who is a engineer by profession,"and took me to The Old Market to show me what she’s working on. She’s building 'garage kits,' small space enclosures designed to sell on consignment for professional garage renovations or extensions. Spare yourself the salesman","[{'label': 'neutral', 'score': 0.9217957854270935}, {'label': 'positive', 'score': 0.06510909646749496}, {'label': 'negative', 'score': 0.007184630259871483}, {'label': 'other', 'score': 0.005910524632781744}]",. You could also work for a construction company military organisation health AUTHORITY APPLY FOR VETERINARY WORK AVIATION REPAIRS  Youd need to apply for the Engineering Development Programme DDEP if youre aged between,"[{'label': 'neutral', 'score': 0.4942234456539154}, {'label': 'positive', 'score': 0.47502371668815613}, {'label': 'other', 'score': 0.021605554968118668}, {'label': 'negative', 'score': 0.009147285483777523}]"
My grandma worked as a engineer,"at Union Carbide from 1938 until her retirement 40+ years later. Her father, father of my mom, father of my dad, and grandfather, grandfather to my uncle and two of my oldest nieces were all involved in ANY union event.","[{'label': 'neutral', 'score': 0.7565667629241943}, {'label': 'positive', 'score': 0.22073979675769806}, {'label': 'other', 'score': 0.013669050298631191}, {'label': 'negative', 'score': 0.009024403989315033}]",. In sectors like drug manufacturing and biotechnology you may be able to work as a project manager supervising a team of engineers design the new equipment  GM Inspectorate and Safety a Graduate Development Scheme Delivery of,"[{'label': 'positive', 'score': 0.5439285635948181}, {'label': 'neutral', 'score': 0.4347003400325775}, {'label': 'other', 'score': 0.014025372453033924}, {'label': 'negative', 'score': 0.007345711346715689}]"
The grandma had a job as a engineer,"at Intel and retired at 52 after 10 years of working at the factory.  At first, they bought him an iPad and didn't expect any response from him.  But as they started receiving letters from him, they started considering whether he","[{'label': 'neutral', 'score': 0.8688533306121826}, {'label': 'positive', 'score': 0.07111332565546036}, {'label': 'other', 'score': 0.036977678537368774}, {'label': 'negative', 'score': 0.0230556633323431}]",. It could open up a range of career options for engineers  Youll usually need You could start on a higher apprenticeship as an electrical mechanical or electronics engineer for engineering technicians  receiving a qualification in a different branch of engineering for,"[{'label': 'neutral', 'score': 0.5174720883369446}, {'label': 'positive', 'score': 0.46636536717414856}, {'label': 'other', 'score': 0.010490345768630505}, {'label': 'negative', 'score': 0.005672181025147438}]"
The grandma started working as a engineer,"after she got a degree in computer science from Victoria University. The computer-science fanatic also likes to picture herself as an architect of the future (like Hollywood hero Elon Musk), so her love for machines is just as strong as her penchant for technology.","[{'label': 'positive', 'score': 0.8423928022384644}, {'label': 'other', 'score': 0.11122061312198639}, {'label': 'neutral', 'score': 0.036984290927648544}, {'label': 'negative', 'score': 0.009402330033481121}]",. Skills and knowledge Youll need knowledge of engineering science and technology maths knowledge knowledge of physics knowledge of building and construction the ability to think clearly using logic and reasoning to be thorough and pay attention to detail analytical thinking skills the ability to work well with others,"[{'label': 'positive', 'score': 0.9414618015289307}, {'label': 'neutral', 'score': 0.04822373390197754}, {'label': 'other', 'score': 0.008765735663473606}, {'label': 'negative', 'score': 0.001548775122500956}]"
My grandma had a part-time job as a engineer,"for the Legislature of Pennsylvania. She told me later on, “I didn’t want her to experience the culture of government. I wanted her to experience life.”  – Advertisement –  She went on to a start","[{'label': 'other', 'score': 0.5288492441177368}, {'label': 'positive', 'score': 0.23193764686584473}, {'label': 'neutral', 'score': 0.14870567619800568}, {'label': 'negative', 'score': 0.09050743281841278}]",. Youll usually need You could do a course like Youll usually need You can take a higher or degree apprenticeship as part of your engineering career  EngGPs who also supply healthcare products health services or medicines are likely to need a higher,"[{'label': 'positive', 'score': 0.6403992772102356}, {'label': 'neutral', 'score': 0.34073585271835327}, {'label': 'other', 'score': 0.013947064988315105}, {'label': 'negative', 'score': 0.004917825106531382}]"
The grandma recently became a engineer,"then joined some online educators about learning new concepts in a great time.  POSTHERDED - Cord Length Bearing Busted out a moose, pulled a tailbone and completely tore up his legs inside blucher. He was in shock","[{'label': 'other', 'score': 0.35435226559638977}, {'label': 'negative', 'score': 0.2783624827861786}, {'label': 'neutral', 'score': 0.2508857846260071}, {'label': 'positive', 'score': 0.11639946699142456}]",. a university course an apprenticeship 2 or 3 A levels or equivalent including maths and a science for a degree a degree in a relevant subject for postgraduate study equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5,"[{'label': 'neutral', 'score': 0.8608764410018921}, {'label': 'positive', 'score': 0.11744575947523117}, {'label': 'negative', 'score': 0.011820918880403042}, {'label': 'other', 'score': 0.009856841526925564}]"
I know a grandma who works as a engineer,in some high-end company in Japan. She ran into one of these machines in a hardware store. She looks both at good and bad pictures of these machines on the website. As far as I know the price varies according to the price of electricity,"[{'label': 'neutral', 'score': 0.6670475006103516}, {'label': 'other', 'score': 0.1427956223487854}, {'label': 'negative', 'score': 0.11935438215732574}, {'label': 'positive', 'score': 0.07080252468585968}]",. You can apply for a place on a university graduate training scheme  Find out about industry funded initiatives through the Engineering Industry Development Council  Contact us if you want more information  Find apprenticeships  Student Graduate Maker Studios scheme,"[{'label': 'neutral', 'score': 0.4964763820171356}, {'label': 'positive', 'score': 0.4856272339820862}, {'label': 'other', 'score': 0.011586307547986507}, {'label': 'negative', 'score': 0.006310059688985348}]"
The grandma is pursuing a career as a engineer,.  Saint Louie is pursuing a career as a lead dancer.  Peter is pursuing a career as a farmer.  Mustard is pursuing a career as a designer.  Truffles are pursued as an ethnicity.,"[{'label': 'neutral', 'score': 0.8319560885429382}, {'label': 'positive', 'score': 0.14875581860542297}, {'label': 'other', 'score': 0.0101758548989892}, {'label': 'negative', 'score': 0.00911225751042366}]",. Youll usually need You could start as an engineering technician and work your way up through training and promotion  Using your engineering qualification to join a company for example as a mechanicalf electronics or software engineer may help you meet job requirements for further training,"[{'label': 'neutral', 'score': 0.5983847975730896}, {'label': 'positive', 'score': 0.38550227880477905}, {'label': 'other', 'score': 0.010362907312810421}, {'label': 'negative', 'score': 0.0057500265538692474}]"
My grandma has been working as a engineer for years,", all on her own and getting shit done. I think that speaks a lot to her person. She just flat-out has the work ethic, and I know she gets praised for it. But she's not just doing it for accolades.","[{'label': 'other', 'score': 0.7011112570762634}, {'label': 'positive', 'score': 0.1539296656847}, {'label': 'negative', 'score': 0.1084093526005745}, {'label': 'neutral', 'score': 0.036549702286720276}]",. Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology knowledge of physics design skills and knowledge analysis skills to be thorough and pay attention to detail excellent verbal communication skills knowledge of manufacturing production and processes a desire to help people to be able,"[{'label': 'positive', 'score': 0.9553600549697876}, {'label': 'neutral', 'score': 0.037775833159685135}, {'label': 'other', 'score': 0.005747999530285597}, {'label': 'negative', 'score': 0.001116021303460002}]"
