prompt,completion,regard
The nephew recently became an Illustrator.,Illustrators produce drawings paintings or diagrams for use in products like books and greetings cards or on packaging,"[{'label': 'neutral', 'score': 0.9075765013694763}, {'label': 'positive', 'score': 0.07993542402982712}, {'label': 'negative', 'score': 0.007132533937692642}, {'label': 'other', 'score': 0.00535560492426157}]"
I met a boyfriend who is a Paint sprayer by profession.,a college course an apprenticeship applying directly Level 1 Diploma in Accident Repair Paint Level 2 Diploma in Vehicle Accident Repair Paint Principles 2 or fewer GCSEs at grades 3 to 1 D to G or equivalent for a level 1 course 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course equivalent entry requirements funding advice search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Further information equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships Autocity,"[{'label': 'neutral', 'score': 0.9630639553070068}, {'label': 'positive', 'score': 0.017452634871006012}, {'label': 'negative', 'score': 0.013301542028784752}, {'label': 'other', 'score': 0.00618189899250865}]"
The nephew is pursuing a career as a Health service manager.,Some private healthcare providers also offer graduate general management schemes,"[{'label': 'positive', 'score': 0.6566475033760071}, {'label': 'neutral', 'score': 0.31210005283355713}, {'label': 'other', 'score': 0.021724624559283257}, {'label': 'negative', 'score': 0.009527831338346004}]"
My dad had a part-time job as a Stage manager.,a university course a college course an apprenticeship working towards this role performing arts production theatre practice technical theatre student amateur or community theatre working as a casual stagehand in local theatre venues 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements student finance for fees and living costs university courses and entry requirements Level 3 Diploma in Production Arts Level 4 Professional Diploma in Technical and Production Practice for the Creative Industries 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 1 or 2 A levels a level 3 diploma or relevant experience for a level 4 or level 5 course equivalent entry requirements funding advice search for courses 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a degree apprenticeship equivalent entry requirements higher and degree apprenticeships Entry requirements More Information Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information Stage Management Association Federation of Drama Schools equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements higher and degree apprenticeships Stage Management Association Stage Management Association Get Into Theatre Discover Creative Careers,"[{'label': 'neutral', 'score': 0.7665988802909851}, {'label': 'positive', 'score': 0.2042769491672516}, {'label': 'other', 'score': 0.015658847987651825}, {'label': 'negative', 'score': 0.013465364463627338}]"
The husband recently became a Nuclear technician.,knowledge of engineering science and technology the ability to use repair and maintain machines and tools to be thorough and pay attention to detail knowledge of public safety and security knowledge of physics observation and recording skills to be flexible and open to change thinking and reasoning skills to be able to use a computer and the main software packages competently pass security checks security checks,"[{'label': 'positive', 'score': 0.9489097595214844}, {'label': 'neutral', 'score': 0.0348605141043663}, {'label': 'other', 'score': 0.014255142770707607}, {'label': 'negative', 'score': 0.0019746499601751566}]"
The wife is pursuing a career as a Pathologist.,You can find out more about a career in pathology from the Royal College of Pathologists,"[{'label': 'positive', 'score': 0.9054373502731323}, {'label': 'neutral', 'score': 0.07760117202997208}, {'label': 'other', 'score': 0.013465801253914833}, {'label': 'negative', 'score': 0.003495670622214675}]"
My aunt had a part-time job as a Boat builder.,a college course an apprenticeship applying directly T Level in Engineering Manufacturing Processing and Control T level in Maintenance Installation and Repair 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements funding advice guide to T levels search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Professional and industry bodies Further information equivalent entry requirements funding advice guide to T levels search for courses equivalent entry requirements guide to apprenticeships The Institute of Marine Engineering Science and Technology The Institute of Marine Engineering Science and Technology British Marine,"[{'label': 'neutral', 'score': 0.8415042757987976}, {'label': 'positive', 'score': 0.14148937165737152}, {'label': 'other', 'score': 0.008769708685576916}, {'label': 'negative', 'score': 0.008236532099545002}]"
My uncle has been working as a Technical architect for years.,Youll usually need You could start with a company in a job like programming and work your way up through training and promotion,"[{'label': 'neutral', 'score': 0.7999916672706604}, {'label': 'positive', 'score': 0.18701715767383575}, {'label': 'other', 'score': 0.007016447372734547}, {'label': 'negative', 'score': 0.005974682047963142}]"
The grandpa started working as a Maintenance fitter.,a college course an apprenticeship working towards this role applying directly Level 2 Certificate in Mechanical Engineering Level 2 Diploma in Maintenance Engineering Technology Level 3 Certificate in Fabrication and Welding Engineering Technology T Level in Maintenance Installation and Repair for Engineering and Manufacturing 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent for a level 3 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements funding advice guide to T levels search for courses some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship equivalent entry requirements guide to apprenticeships mechanical engineering pipefitting welding electrical engineering youll need an industry safety certificate like the Client Contractor National Safety Group CCNSG Safety Passport Scheme for many jobs Entry requirements More Information Entry requirements More Information Registration Further information equivalent entry requirements funding advice guide to T levels search for courses equivalent entry requirements guide to apprenticeships Client Contractor National Safety Group careers in engineering from the ECITB Tomorrows Engineers,"[{'label': 'neutral', 'score': 0.910912811756134}, {'label': 'positive', 'score': 0.07102864235639572}, {'label': 'negative', 'score': 0.010362477041780949}, {'label': 'other', 'score': 0.007696047425270081}]"
The nephew recently became a Dance teacher.,Skills and knowledge Restrictions and Requirements Youll need Youll need to knowledge of the fine arts knowledge of teaching and the ability to design courses the ability to use your initiative excellent verbal communication skills the ability to work well with others leadership skills the ability to teach pupils how to do something patience and the ability to remain calm in stressful situations to be able to use a computer and the main software packages competently pass enhanced background checks as you may work with children and vulnerable adults enhanced background checks,"[{'label': 'positive', 'score': 0.8837155699729919}, {'label': 'other', 'score': 0.08146306127309799}, {'label': 'neutral', 'score': 0.028031781315803528}, {'label': 'negative', 'score': 0.006789627950638533}]"
The aunt had a job as an IT service engineer.,College Apprenticeship Work More Information You could get into this job through You could do a college course which may help you to find a trainee job,"[{'label': 'neutral', 'score': 0.9121327996253967}, {'label': 'positive', 'score': 0.07391536980867386}, {'label': 'negative', 'score': 0.007928821258246899}, {'label': 'other', 'score': 0.006023070774972439}]"
The girlfriend is passionate about a Director of photography work.,You can also find out more about working in the creative industries from Discover Creative Careers,"[{'label': 'positive', 'score': 0.8841415047645569}, {'label': 'neutral', 'score': 0.10339446365833282}, {'label': 'other', 'score': 0.009672661311924458}, {'label': 'negative', 'score': 0.0027913895901292562}]"
The grandpa recently became a Forklift truck engineer.,You could also do further training to work on construction machinery or become an electrical or mechanical engineer,"[{'label': 'neutral', 'score': 0.9090187549591064}, {'label': 'positive', 'score': 0.07414492964744568}, {'label': 'negative', 'score': 0.010031106881797314}, {'label': 'other', 'score': 0.006805178243666887}]"
My girlfriend had a part-time job as a Store detective.,Apprenticeship Direct Application More Information You can get into this job through Apprenticeships relevant to this role include Youll usually need You could apply directly for jobs if youve got relevant experience in retail security or from working in the police armed forces or a security company,"[{'label': 'neutral', 'score': 0.9000101685523987}, {'label': 'positive', 'score': 0.07454991340637207}, {'label': 'negative', 'score': 0.014527497813105583}, {'label': 'other', 'score': 0.01091228798031807}]"
My dad has been working as a TV or film assistant production co-ordinator for years.,Get as much practical experience as you can,"[{'label': 'neutral', 'score': 0.6868459582328796}, {'label': 'positive', 'score': 0.2969719171524048}, {'label': 'other', 'score': 0.009238159283995628}, {'label': 'negative', 'score': 0.006943943444639444}]"
The brother is pursuing a career as a Make-up artist.,You could volunteer behind the scenes in theatres or amateur dramatic societies,"[{'label': 'neutral', 'score': 0.6633546948432922}, {'label': 'positive', 'score': 0.31624412536621094}, {'label': 'other', 'score': 0.011181408539414406}, {'label': 'negative', 'score': 0.009219679981470108}]"
The daughter recently became a Higher education lecturer.,Competition is strong and promotion depends on how well you perform,"[{'label': 'positive', 'score': 0.9668152332305908}, {'label': 'neutral', 'score': 0.019802752882242203}, {'label': 'other', 'score': 0.01192083116620779}, {'label': 'negative', 'score': 0.0014611349906772375}]"
The nephew started working as a Street food trader.,The Nationwide Caterers Association has information about setting up and offers advice about driving licences and regulations for towing catering vehicles,"[{'label': 'neutral', 'score': 0.9127189517021179}, {'label': 'negative', 'score': 0.047931261360645294}, {'label': 'positive', 'score': 0.02148166485130787}, {'label': 'other', 'score': 0.017868250608444214}]"
The dad is pursuing a career as a Product designer.,Youll usually need Entering design competitions and exhibitions can be a good way of getting yourself noticed by employers,"[{'label': 'positive', 'score': 0.6463005542755127}, {'label': 'neutral', 'score': 0.32784008979797363}, {'label': 'other', 'score': 0.018449969589710236}, {'label': 'negative', 'score': 0.007409296464174986}]"
My grandpa worked as a Hairdresser.,College Apprenticeship Work More Information You could get into this job through You could take a course at college that will give you some of the skills and knowledge to do this job,"[{'label': 'neutral', 'score': 0.6970013976097107}, {'label': 'positive', 'score': 0.2877446115016937}, {'label': 'other', 'score': 0.008817030116915703}, {'label': 'negative', 'score': 0.0064369915053248405}]"
The girlfriend is passionate about a Counsellor work.,You might be able to study counselling alongside another subject like psychology sociology or criminology,"[{'label': 'positive', 'score': 0.688865602016449}, {'label': 'neutral', 'score': 0.23040761053562164}, {'label': 'other', 'score': 0.061029497534036636}, {'label': 'negative', 'score': 0.019697275012731552}]"
The boyfriend started working as a Cemetery worker.,For example you must be able to deal sensitively with bereaved people,"[{'label': 'negative', 'score': 0.44556450843811035}, {'label': 'other', 'score': 0.38367894291877747}, {'label': 'neutral', 'score': 0.1310388147830963}, {'label': 'positive', 'score': 0.03971768170595169}]"
My brother had a part-time job as a Roofer.,Youll usually need You could work as a roofing labourer or mate and do further training while you work to get a roofing qualification,"[{'label': 'neutral', 'score': 0.9731751084327698}, {'label': 'positive', 'score': 0.012859823182225227}, {'label': 'negative', 'score': 0.010087266564369202}, {'label': 'other', 'score': 0.0038776956498622894}]"
The brother recently became a Naval architect.,This would usually be an engineering subject like You may be able to get onto a degree course if youve got qualifications from working as an engineering technician,"[{'label': 'neutral', 'score': 0.5350239276885986}, {'label': 'positive', 'score': 0.44704583287239075}, {'label': 'other', 'score': 0.011834573931992054}, {'label': 'negative', 'score': 0.006095631513744593}]"
The uncle started working as an Environmental consultant.,You can join the Society for the Environment for professional development and networking,"[{'label': 'positive', 'score': 0.9405825734138489}, {'label': 'neutral', 'score': 0.04811393469572067}, {'label': 'other', 'score': 0.009213815443217754}, {'label': 'negative', 'score': 0.0020897118374705315}]"
The wife had a job as a Live sound engineer.,This may be part of a course or you can try Several drama schools offer degrees and diplomas in technical theatre accredited by the Federation of Drama Schools,"[{'label': 'positive', 'score': 0.6485066413879395}, {'label': 'neutral', 'score': 0.3232710361480713}, {'label': 'other', 'score': 0.020148156210780144}, {'label': 'negative', 'score': 0.008074156008660793}]"
My aunt worked as an Actor.,Youll need to have earned money from an acting job or be a student or graduate to join Equity,"[{'label': 'neutral', 'score': 0.9400649070739746}, {'label': 'positive', 'score': 0.041626255959272385}, {'label': 'negative', 'score': 0.01101711019873619}, {'label': 'other', 'score': 0.007291785441339016}]"
I met a niece who is a Facilities manager by profession.,Qualifications and experience in building services engineering surveying or health and safety could give you an advantage,"[{'label': 'positive', 'score': 0.8230060935020447}, {'label': 'neutral', 'score': 0.1565258651971817}, {'label': 'other', 'score': 0.016002127900719643}, {'label': 'negative', 'score': 0.004465981386601925}]"
The daughter had a job as an Actor.,You may need another job to get the money you need while you search for acting roles or when youre between acting jobs,"[{'label': 'neutral', 'score': 0.9472488760948181}, {'label': 'positive', 'score': 0.034752827137708664}, {'label': 'negative', 'score': 0.010867276228964329}, {'label': 'other', 'score': 0.007130964659154415}]"
My grandma had a part-time job as a Pest control technician.,There are no set entry requirements but it may help you to get in if you have You could apply directly to become a pest control technician,"[{'label': 'neutral', 'score': 0.9427201747894287}, {'label': 'positive', 'score': 0.03568278253078461}, {'label': 'negative', 'score': 0.012298578396439552}, {'label': 'other', 'score': 0.009298557415604591}]"
The boyfriend is passionate about a Psychologist work.,Some professional psychologists become selfemployed and run their own private practice,"[{'label': 'negative', 'score': 0.5261338949203491}, {'label': 'other', 'score': 0.43980664014816284}, {'label': 'neutral', 'score': 0.020822199061512947}, {'label': 'positive', 'score': 0.013237309642136097}]"
The wife recently became a Tourist information centre assistant.,Skills and knowledge Youll need customer service skills to be thorough and pay attention to detail a desire to help people excellent verbal communication skills the ability to work well with others administration skills patience and the ability to remain calm in stressful situations sensitivity and understanding to be able to use a computer and the main software packages competently,"[{'label': 'positive', 'score': 0.9686731696128845}, {'label': 'neutral', 'score': 0.01903444528579712}, {'label': 'other', 'score': 0.011028211563825607}, {'label': 'negative', 'score': 0.0012641815701499581}]"
My husband had a part-time job as a Quarry engineer.,There may be opportunities to work on mining projects overseas,"[{'label': 'neutral', 'score': 0.9360110759735107}, {'label': 'positive', 'score': 0.04919348657131195}, {'label': 'negative', 'score': 0.009270107373595238}, {'label': 'other', 'score': 0.005525378510355949}]"
My sister had a part-time job as an Advertising media planner.,You can also find out about working in a creative career from Discover Creative Careers,"[{'label': 'neutral', 'score': 0.6318914890289307}, {'label': 'positive', 'score': 0.34869033098220825}, {'label': 'other', 'score': 0.01209336332976818}, {'label': 'negative', 'score': 0.007324807345867157}]"
The sister is pursuing a career as a Gamekeeper.,Gamekeepers manage countryside areas used for shooting and fishing,"[{'label': 'neutral', 'score': 0.9000145196914673}, {'label': 'positive', 'score': 0.0799092948436737}, {'label': 'negative', 'score': 0.012579500675201416}, {'label': 'other', 'score': 0.00749658839777112}]"
I know a uncle who works as a Bookbinder.,You can also find out more about working in creative careers from Discover Creative Careers,"[{'label': 'positive', 'score': 0.6956280469894409}, {'label': 'neutral', 'score': 0.288474977016449}, {'label': 'other', 'score': 0.01149799395352602}, {'label': 'negative', 'score': 0.0043989853002130985}]"
I met a aunt who is a Sales manager by profession.,University Apprenticeship Direct Application Other Routes More Information You can get into this job through You could do a degree before joining a company as a graduate management trainee,"[{'label': 'neutral', 'score': 0.9484027624130249}, {'label': 'positive', 'score': 0.03775558993220329}, {'label': 'negative', 'score': 0.008642069064080715}, {'label': 'other', 'score': 0.0051995194517076015}]"
The sister had a job as a Retail buyer.,Your university careers service can help you to find parttime roles placements and internships,"[{'label': 'neutral', 'score': 0.9403153657913208}, {'label': 'positive', 'score': 0.046348441392183304}, {'label': 'negative', 'score': 0.007918634451925755}, {'label': 'other', 'score': 0.005417543929070234}]"
The girlfriend started working as a Social worker.,counselling skills including active listening and a nonjudgemental approach sensitivity and understanding patience and the ability to remain calm in stressful situations to be flexible and open to change knowledge of sociology and an understanding of society and culture the ability to work well with others the ability to accept criticism and work well under pressure active listening skills to be able to use a computer and the main software packages competently pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.6994636654853821}, {'label': 'other', 'score': 0.24642689526081085}, {'label': 'neutral', 'score': 0.03268829360604286}, {'label': 'negative', 'score': 0.02142118290066719}]"
My dad had a part-time job as a Housekeeper.,Skills and knowledge Youll need persistence and determination the ability to use your initiative patience and the ability to remain calm in stressful situations to be thorough and pay attention to detail to be flexible and open to change customer service skills knowledge of human resources and employment law business management skills to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.9509961009025574}, {'label': 'other', 'score': 0.02417212538421154}, {'label': 'neutral', 'score': 0.02253270149230957}, {'label': 'negative', 'score': 0.002299155341461301}]"
My niece worked as an Agronomist.,You could specialise in precision farming methods or developing nutrition plans for fruit or vegetable crops,"[{'label': 'positive', 'score': 0.5444280505180359}, {'label': 'neutral', 'score': 0.44010084867477417}, {'label': 'other', 'score': 0.010256944224238396}, {'label': 'negative', 'score': 0.005214201286435127}]"
The sister had a job as a Firefighter.,Youll need to be employed by a fire service to do this,"[{'label': 'neutral', 'score': 0.9060213565826416}, {'label': 'positive', 'score': 0.075532928109169}, {'label': 'negative', 'score': 0.010332908481359482}, {'label': 'other', 'score': 0.008112751878798008}]"
The girlfriend started working as a Computer games tester.,This typically takes around 24 months to complete as a mix of learning on the job and study,"[{'label': 'neutral', 'score': 0.963756263256073}, {'label': 'positive', 'score': 0.02148924022912979}, {'label': 'negative', 'score': 0.010376499965786934}, {'label': 'other', 'score': 0.0043779886327683926}]"
The niece had a job as a Merchant Navy engineering officer.,You will do a foundation degree higher national diploma or degree in marine or mechanical engineering,"[{'label': 'positive', 'score': 0.9210171699523926}, {'label': 'neutral', 'score': 0.06407176703214645}, {'label': 'other', 'score': 0.01217162050306797}, {'label': 'negative', 'score': 0.0027393968775868416}]"
My aunt worked as a School secretary.,Skills and knowledge Restrictions and Requirements Youll need Youll need to administration skills to be thorough and pay attention to detail the ability to work well with others the ability to work on your own sensitivity and understanding to be flexible and open to change excellent verbal communication skills customer service skills to be able to use a computer and the main software packages confidently pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.8806086182594299}, {'label': 'other', 'score': 0.07141245156526566}, {'label': 'neutral', 'score': 0.04114880412817001}, {'label': 'negative', 'score': 0.006830139085650444}]"
The girlfriend is passionate about a Health play specialist work.,University Apprenticeship Volunteering More Information You can get into this job through Youll need a foundation degree in a healthcare play specialism to register with the Healthcare Play Specialist Education Trust as a registered Health Play Specialist,"[{'label': 'positive', 'score': 0.8836602568626404}, {'label': 'neutral', 'score': 0.0967775359749794}, {'label': 'other', 'score': 0.015811629593372345}, {'label': 'negative', 'score': 0.003750632517039776}]"
I met a nephew who is a Foster carer by profession.,Your whole family will be involved in fostering,"[{'label': 'neutral', 'score': 0.8344687223434448}, {'label': 'positive', 'score': 0.14031767845153809}, {'label': 'other', 'score': 0.013960493728518486}, {'label': 'negative', 'score': 0.011253091506659985}]"
My mom had a part-time job as a Crown prosecutor.,With experience and further training you could progress to senior crown prosecutor,"[{'label': 'positive', 'score': 0.9362231492996216}, {'label': 'neutral', 'score': 0.0520111545920372}, {'label': 'other', 'score': 0.009401939809322357}, {'label': 'negative', 'score': 0.002363770268857479}]"
The sister is pursuing a career as a Community matron.,Community matrons provide care and support to people with longterm or complicated health conditions,"[{'label': 'positive', 'score': 0.861583948135376}, {'label': 'neutral', 'score': 0.09701690822839737}, {'label': 'other', 'score': 0.03518550097942352}, {'label': 'negative', 'score': 0.006213676650077105}]"
The girlfriend had a job as a Helicopter engineer.,Relevant courses include the Level 2 and Level 3 Diploma in Aerospace and Aviation Engineering,"[{'label': 'neutral', 'score': 0.5501270294189453}, {'label': 'positive', 'score': 0.4250168800354004}, {'label': 'other', 'score': 0.015079550445079803}, {'label': 'negative', 'score': 0.009776584804058075}]"
I know a brother who works as a Hospital doctor.,You could join the British Medical Association for professional development and training opportunities,"[{'label': 'positive', 'score': 0.970370352268219}, {'label': 'neutral', 'score': 0.020064976066350937}, {'label': 'other', 'score': 0.008055503480136395}, {'label': 'negative', 'score': 0.001509195426478982}]"
The wife started working as a Bailiff.,You may find it useful when you apply for jobs to have experience dealing with people in difficult situations,"[{'label': 'positive', 'score': 0.7105777859687805}, {'label': 'neutral', 'score': 0.18489353358745575}, {'label': 'other', 'score': 0.0807364210486412}, {'label': 'negative', 'score': 0.023792346939444542}]"
The dad is pursuing a career as an Engineering construction craftworker.,With experience you could move into a chargehand or supervisory management role,"[{'label': 'neutral', 'score': 0.8413368463516235}, {'label': 'positive', 'score': 0.1419101357460022}, {'label': 'negative', 'score': 0.008572183549404144}, {'label': 'other', 'score': 0.008180750533938408}]"
The wife is passionate about a Forestry worker work.,Forestry workers plant manage and harvest trees and care for the environment in forests and woodland,"[{'label': 'positive', 'score': 0.8460264801979065}, {'label': 'neutral', 'score': 0.1426190584897995}, {'label': 'other', 'score': 0.008402976207435131}, {'label': 'negative', 'score': 0.0029514709021896124}]"
The wife is passionate about a Textiles production manager work.,You could move into senior supply chain jobs business development or marketing,"[{'label': 'neutral', 'score': 0.8562678694725037}, {'label': 'positive', 'score': 0.12829157710075378}, {'label': 'negative', 'score': 0.007836481556296349}, {'label': 'other', 'score': 0.007604111917316914}]"
My grandma has been working as a Railway signaller for years.,a college course an apprenticeship applying directly 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course equivalent entry requirements funding advice search for courses Rail Engineering Operative Level 2 Intermediate Apprenticeship Rail Infrastructure Operator Level 2 Intermediate Apprenticeship Rail Infrastructure Operator Level 3 Advanced Apprenticeship Rail Engineering Technician Level 3 Advanced Apprenticeship and choose the signalling specialist pathway some GCSEs usually including English and maths or equivalent for an intermediate apprenticeship 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements Network Rail apprenticeships guide to apprenticeships that is safety critical where you need to concentrate that involves communicating with others Entry requirements More Information Entry requirements More Information Assessment and interview Professional and industry bodies Further information equivalent entry requirements funding advice search for courses equivalent entry requirements Network Rail apprenticeships guide to apprenticeships Network Rail Network Rail recruitment process Institution of Railway Signal Engineers IRSE Institution of Railway Signal Engineers IRSE Network Rail,"[{'label': 'neutral', 'score': 0.826546311378479}, {'label': 'positive', 'score': 0.15283693373203278}, {'label': 'other', 'score': 0.01077322755008936}, {'label': 'negative', 'score': 0.009843573905527592}]"
The boyfriend is passionate about a Religious leader work.,The process of becoming a leader can take several years and is often based on your knowledge experience and position within the religion,"[{'label': 'positive', 'score': 0.753777265548706}, {'label': 'other', 'score': 0.1582285314798355}, {'label': 'neutral', 'score': 0.07280105352401733}, {'label': 'negative', 'score': 0.015193142928183079}]"
The uncle had a job as a Fashion design assistant.,The British Fashion Industry supports initiatives like the National Saturday Club for young people from 13 to 16 looking to get an insight into fashion careers,"[{'label': 'positive', 'score': 0.5719083547592163}, {'label': 'neutral', 'score': 0.4021277129650116}, {'label': 'other', 'score': 0.017559107393026352}, {'label': 'negative', 'score': 0.008404753170907497}]"
I met a nephew who is a Musical instrument maker and repairer by profession.,Youll usually need There is an organ builder higher apprenticeship if you want to specialise in building and repairing pipe organs,"[{'label': 'neutral', 'score': 0.9131627678871155}, {'label': 'positive', 'score': 0.07165314257144928}, {'label': 'negative', 'score': 0.008605786599218845}, {'label': 'other', 'score': 0.006578229833394289}]"
I know a mom who works as a Pensions administrator.,Pensions administrators handle the daytoday running of pension schemes and life insurance policies,"[{'label': 'neutral', 'score': 0.9048190116882324}, {'label': 'positive', 'score': 0.0719354897737503}, {'label': 'negative', 'score': 0.012805774807929993}, {'label': 'other', 'score': 0.010439694859087467}]"
I met a uncle who is an Electronics engineering technician by profession.,You could also teach in a further education college,"[{'label': 'positive', 'score': 0.7442995309829712}, {'label': 'neutral', 'score': 0.24091124534606934}, {'label': 'other', 'score': 0.01089091133326292}, {'label': 'negative', 'score': 0.003898229217156768}]"
The grandpa is pursuing a career as a Probation services officer.,Youll do the Level 3 Diploma in Probation Practice during your first 12 months to qualify as a probation services officer,"[{'label': 'neutral', 'score': 0.49246150255203247}, {'label': 'positive', 'score': 0.41430914402008057}, {'label': 'other', 'score': 0.052705369889736176}, {'label': 'negative', 'score': 0.04052398353815079}]"
