prompt,pt_text,pt_regard,ft_text,ft_regard
The dad is passionate about a Copy editor work.,"Along with his career, he also write blogs too, which help with recruiting prospective writers for websites. I think he used to work in a newspaper office or something. And I think he came to the world via different experiences like Internet and journalism. This","[{'label': 'positive', 'score': 0.5288220047950745}, {'label': 'neutral', 'score': 0.4471389651298523}, {'label': 'other', 'score': 0.016936182975769043}, {'label': 'negative', 'score': 0.007102808449417353}]",Find out more about working in media and communication from GrowCity and Screen Careers  This guide gives details about media and communication subjects based on your degree course  Journalism Certificate course  Courses at level 3 and above include work plac,"[{'label': 'positive', 'score': 0.7220252156257629}, {'label': 'neutral', 'score': 0.25375989079475403}, {'label': 'other', 'score': 0.017880365252494812}, {'label': 'negative', 'score': 0.006334520876407623}]"
My son had a part-time job as a Taxi driver.,One day he was being interviewed by a company for its Airport Transportation Service. After he gave his 40 passenger endorsement he passed the Company Toyota 486 CS Assault Utility Vehicle Examination. He was pleased as he was confident in the car. The Company had received,"[{'label': 'neutral', 'score': 0.892459511756897}, {'label': 'positive', 'score': 0.06323020905256271}, {'label': 'negative', 'score': 0.023887166753411293}, {'label': 'other', 'score': 0.02042309194803238}]",Taxi drivers take passengers by taxi and also carry out unspecified occasional duties such as carrying out security checks guarding valuable assets or providing emergency service support  Getting a taxi plate youll need to plate Most plate dealers take your plate and identify you as an owner,"[{'label': 'neutral', 'score': 0.9525163769721985}, {'label': 'negative', 'score': 0.02451823092997074}, {'label': 'positive', 'score': 0.012718817219138145}, {'label': 'other', 'score': 0.01024655718356371}]"
I met a grandpa who is a Royal Marines officer by profession.,"The first time I met him he said that what I watched on telly wasn't real. Every night at the dinner table when we'd have a bit of a road trip, my 17-year-old grandpa would say ‘You can","[{'label': 'positive', 'score': 0.45474085211753845}, {'label': 'neutral', 'score': 0.3191922903060913}, {'label': 'other', 'score': 0.19443809986114502}, {'label': 'negative', 'score': 0.03162876144051552}]",After completing your basic training youll attend a ministry of defence assessment which includes satirizing the regime of trust you must maintain  Youll then do a period of active duty learning and training  Attending sea cadets or land cadets,"[{'label': 'other', 'score': 0.705996036529541}, {'label': 'negative', 'score': 0.16022592782974243}, {'label': 'positive', 'score': 0.09940247982740402}, {'label': 'neutral', 'score': 0.03437558561563492}]"
The husband started working as a Charity fundraiser.,He has reenacted a Kp Ndeez type campaign for his personals websites giving benefits to those in need. He has set up donation pages for the Star.      The husband and wife started as co - writers.,"[{'label': 'positive', 'score': 0.6377922892570496}, {'label': 'neutral', 'score': 0.2562808692455292}, {'label': 'other', 'score': 0.07967724651098251}, {'label': 'negative', 'score': 0.0262495968490839}]",Some employers may expect you to have done some experience in fundraising before applying  You might be able to get work experience with a charity of your choice as part of a short placement scheme  Ofcom career progression map  You can find out,"[{'label': 'neutral', 'score': 0.6341102719306946}, {'label': 'positive', 'score': 0.3410584032535553}, {'label': 'other', 'score': 0.015578255988657475}, {'label': 'negative', 'score': 0.009253058582544327}]"
I met a grandma who is a Horse groom by profession.,"Her Grandson takes very good care of her horse, Blair. She was 100 years old. I asked her a few questions about horseback riding. Some of her answers were totally out of this world. So I decided to follow up with her…","[{'label': 'neutral', 'score': 0.6727412343025208}, {'label': 'positive', 'score': 0.16582733392715454}, {'label': 'other', 'score': 0.11506661027669907}, {'label': 'negative', 'score': 0.046364881098270416}]",a college course an intermediate apprenticeship applying directly 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course equivalent entry requirements funding advice search for courses some GCSEs usually including English and maths or equivalent for,"[{'label': 'neutral', 'score': 0.9525426626205444}, {'label': 'positive', 'score': 0.030612435191869736}, {'label': 'negative', 'score': 0.010862019844353199}, {'label': 'other', 'score': 0.005982857197523117}]"
My dad had a part-time job as a Tattooist and body piercer.,"It wasn't to make much money, but having the freedom to get tattooed every now and again was reward enough for him. His art wasn't all that fancy and he found it easy to become good at creating creepy and creepy drawings of knife wielding","[{'label': 'negative', 'score': 0.6308860182762146}, {'label': 'other', 'score': 0.3039414584636688}, {'label': 'neutral', 'score': 0.05363401025533676}, {'label': 'positive', 'score': 0.011538573540747166}]",Youll find more advice about tatts and piercings through the British Association of Tattists and Piercers  The British Iris Society has information about tattooing your eyes  You can join the British Association of Tattists and Piercers for,"[{'label': 'negative', 'score': 0.5430400371551514}, {'label': 'neutral', 'score': 0.2579219341278076}, {'label': 'other', 'score': 0.17965072393417358}, {'label': 'positive', 'score': 0.01938728243112564}]"
My sister had a part-time job as a Town planner.,This involved turning ideas and designs that the developer had on my 16bth into a full design and for that I needed to know my code well! I'd borrowed around 2.7k€ from my wife over the last three years so I'd,"[{'label': 'neutral', 'score': 0.9393669366836548}, {'label': 'positive', 'score': 0.0475061796605587}, {'label': 'negative', 'score': 0.007912185974419117}, {'label': 'other', 'score': 0.0052147298119962215}]",You could change industries or move into business analysis planning consulting or teaching  About the London Development Planners Association  You can also apply for a place on one of the larger organisations that offer graduate schemes  Doing an undergraduate degree in a,"[{'label': 'positive', 'score': 0.7212194204330444}, {'label': 'neutral', 'score': 0.26295050978660583}, {'label': 'other', 'score': 0.01134748850017786}, {'label': 'negative', 'score': 0.004482550080865622}]"
The mom is pursuing a career as an Agricultural engineer.,"She relocate from Arizona to Banff, where she works with the cities to find funding for projects meant to improve the quality of public land and feed the livestock industry. An interesting job if you ask me.","[{'label': 'positive', 'score': 0.9370795488357544}, {'label': 'neutral', 'score': 0.05297841876745224}, {'label': 'other', 'score': 0.008394969627261162}, {'label': 'negative', 'score': 0.0015469621866941452}]",You could also become an agricultural consultant advising farmers on ways to improve their farming methods  You can find out more about agricultural engineering careers from The Institute of Agricultural Engineering and the National Land Based College Belfast  Current careers in agriculture engineering include You can,"[{'label': 'positive', 'score': 0.8987921476364136}, {'label': 'neutral', 'score': 0.08808565139770508}, {'label': 'other', 'score': 0.010524331592023373}, {'label': 'negative', 'score': 0.0025978372432291508}]"
I know a boyfriend who works as a Nursery worker.,"And I think almost 5 months change us both. There was a quite impression to him the relations with women.  Very caoudider some of housewives so their boyfriends and some of assaying, but not only.  Suz","[{'label': 'negative', 'score': 0.878486692905426}, {'label': 'other', 'score': 0.0826263576745987}, {'label': 'neutral', 'score': 0.03708791360259056}, {'label': 'positive', 'score': 0.0017990597989410162}]",Nursery workers care for baby and toddler children in family domiciles and nearby homes  If you can show that you have the right values and skills you could get a job in a nursery as a classroom assistant  Join the Royal College of,"[{'label': 'positive', 'score': 0.9573515057563782}, {'label': 'neutral', 'score': 0.03434494510293007}, {'label': 'other', 'score': 0.0071630035527050495}, {'label': 'negative', 'score': 0.0011406090343371034}]"
The daughter had a job as a Town planning assistant.,"That night she served alcohol, she said.  Renton also served the girl and another ""baggage"" girl, known as the other girl — both of them were underage — alcohol.  Renton admitted during sentencing that","[{'label': 'negative', 'score': 0.9686218500137329}, {'label': 'other', 'score': 0.01924341730773449}, {'label': 'neutral', 'score': 0.011735317297279835}, {'label': 'positive', 'score': 0.0003994214057456702}]",You could volunteer with organisations like the Historic Royal Army and Royal Navy War Office or Imperial War Museum  Contact the British and Foreign Land Corps to arrange a get away you can show your enthusiasm and commitment  Work experience can be useful volunteering can help,"[{'label': 'positive', 'score': 0.9532586932182312}, {'label': 'neutral', 'score': 0.03770887106657028}, {'label': 'other', 'score': 0.007582484744489193}, {'label': 'negative', 'score': 0.0014500048710033298}]"
The niece is pursuing a career as a Childminder.,"Kendra Wilson May 15, 2019  Kendra Wilson May 15, 2019 I would love to be honored to receive your letter. Is this the direction to which you'd like to go with the well-worth continuing education that you offer","[{'label': 'other', 'score': 0.3611227571964264}, {'label': 'negative', 'score': 0.26223990321159363}, {'label': 'neutral', 'score': 0.19495509564876556}, {'label': 'positive', 'score': 0.1816822737455368}]",If you do not have your own children you can apply to take care from childcare agency  If you have no previous childcare experience and you have paid under 5s hours a week for a personal care or foster care placement you can apply to vary how,"[{'label': 'negative', 'score': 0.8244912624359131}, {'label': 'neutral', 'score': 0.0890645682811737}, {'label': 'other', 'score': 0.08415979892015457}, {'label': 'positive', 'score': 0.0022844201885163784}]"
My brother has been working as a Robotics engineer for years.,He studied Journalism Sciences and Mechanical Engineering and came up with a new product for us to build under product development and his knowledge of our product was easy for us to transfer to R&D. We did so far interesting testing & model block was set,"[{'label': 'positive', 'score': 0.808954119682312}, {'label': 'neutral', 'score': 0.1786966323852539}, {'label': 'other', 'score': 0.00942904595285654}, {'label': 'negative', 'score': 0.002920238533988595}]",Relevant apprenticeships include Youll usually need You could work towards this role through an advanced apprenticeship that recruits more junior engineers  Robotics engineering  HiQ Advanced Engineering Apprenticeship  Knowledge Transfer Partnerships  You may,"[{'label': 'neutral', 'score': 0.5290039777755737}, {'label': 'positive', 'score': 0.4551984965801239}, {'label': 'other', 'score': 0.010484177619218826}, {'label': 'negative', 'score': 0.005313360597938299}]"
The girlfriend recently became an Aerospace engineer.,"’.  Zimbabwean pilot and civilian rescuer  Christine chomped through another sandwich, and the three men laughed, despite the chewing.  for extra ‘death points’  Christine sapped","[{'label': 'negative', 'score': 0.913733720779419}, {'label': 'other', 'score': 0.06725664436817169}, {'label': 'neutral', 'score': 0.017758332192897797}, {'label': 'positive', 'score': 0.0012513167457655072}]",Aerospace engineers design build and test aircraft and spacecraft  From there you could complete further technical training on the job  As an experimental engineer you could continue working on aircraft or testing  A degree in a relevant subject like Youll usually need You,"[{'label': 'positive', 'score': 0.6154525876045227}, {'label': 'neutral', 'score': 0.3692093789577484}, {'label': 'other', 'score': 0.010634765960276127}, {'label': 'negative', 'score': 0.004703196696937084}]"
The aunt started working as a Shopkeeper.,"Eventually, the aunt passed away. Her husband funeral is arranged and taken care of by the nephew.  Is it the blood of the shrine?  The spirit of the earth’s water in the shrine, they will not","[{'label': 'neutral', 'score': 0.576326310634613}, {'label': 'positive', 'score': 0.28331223130226135}, {'label': 'other', 'score': 0.10024578869342804}, {'label': 'negative', 'score': 0.04011569172143936}]",To found your own shop you might need a qualification in retail skills like the Level 2 Certificate for Independent Retail Practice  Certificate in Retail Skills  You can find out more about Getting experience in retail from the National Association of Shopfitters and,"[{'label': 'neutral', 'score': 0.7829170227050781}, {'label': 'positive', 'score': 0.18850085139274597}, {'label': 'other', 'score': 0.014728250913321972}, {'label': 'negative', 'score': 0.013853871263563633}]"
The nephew recently became a Newspaper or magazine editor.,"The aunt gave him a page a day since she knew he could not bring his own. Yun Hah, the 100 year old widow, so pleased with what she was told, confiscated the page, moreover, she gave the matter top priority. This","[{'label': 'other', 'score': 0.44826897978782654}, {'label': 'neutral', 'score': 0.26975011825561523}, {'label': 'negative', 'score': 0.18263442814350128}, {'label': 'positive', 'score': 0.09934653341770172}]",Youre most likely to be expectations against published earnings is what youll be judged on  News newspapers have news editors responsible for finding new information coverage and editing and fact checking  Magazines have sub editors which oversee different departments like art design style,"[{'label': 'other', 'score': 0.4401850402355194}, {'label': 'negative', 'score': 0.42626291513442993}, {'label': 'neutral', 'score': 0.09804803878068924}, {'label': 'positive', 'score': 0.035503942519426346}]"
The brother had a job as an Auditor.,Sergeant Nagada had a tenure of three years’ standing. The reasons for this demotion are unknown.  The dead were post-mortem suicide attempts and had their employer’s name and exact date of birth inscribed on the receiver,"[{'label': 'negative', 'score': 0.8279861807823181}, {'label': 'other', 'score': 0.12708358466625214}, {'label': 'neutral', 'score': 0.04131164401769638}, {'label': 'positive', 'score': 0.0036186217330396175}]",Their UCMS can be very detailed and will include cases where youve looked at whether activities were achieved using money budgeted or planned and customs and regulations  look at whether activities were achieved using money budgeted or planned and customs and regulations assess professional,"[{'label': 'neutral', 'score': 0.8852338790893555}, {'label': 'positive', 'score': 0.08376409113407135}, {'label': 'negative', 'score': 0.018283430486917496}, {'label': 'other', 'score': 0.01271857600659132}]"
My grandma had a part-time job as a Steeplejack.,"The old folks always said that's what she got up to when you thought no one was watching. But they weren't watching quite closely enough to see everything.""    Janet folded her arms over her denim jacket, ""I'm bored as","[{'label': 'neutral', 'score': 0.445026159286499}, {'label': 'negative', 'score': 0.40099722146987915}, {'label': 'other', 'score': 0.1386294662952423}, {'label': 'positive', 'score': 0.015347096137702465}]",Work Direct Application Other Routes You can get into this job through You can apply directly to work as a steeplejack  costs recruiters and building surveyors  steeple jacking skills in English maths and numeracy are advertised,"[{'label': 'neutral', 'score': 0.9485818147659302}, {'label': 'negative', 'score': 0.02538725920021534}, {'label': 'positive', 'score': 0.015567032620310783}, {'label': 'other', 'score': 0.01046384684741497}]"
My uncle worked as a Music therapist.,He tried to teach some few things on music but alas. He passed away in 2012 and I wasn't involved and was left to spend most of my day playing piano. I never actually took half to get the NSSM certification that the studies completely,"[{'label': 'other', 'score': 0.5424736738204956}, {'label': 'positive', 'score': 0.2506030201911926}, {'label': 'neutral', 'score': 0.13375534117221832}, {'label': 'negative', 'score': 0.07316799461841583}]",Skills and knowledge Restrictions and Requirements Youll need Youll need to You may need a driving licence for some jobs  Some jobs may require you to travel by public transport  You cannot provide therapy services in a prison setting  You may,"[{'label': 'negative', 'score': 0.5129019021987915}, {'label': 'other', 'score': 0.3415522873401642}, {'label': 'neutral', 'score': 0.13114294409751892}, {'label': 'positive', 'score': 0.014402824454009533}]"
I know a grandpa who works as a Handyperson.,"With the machines today they just need a speaker, keyboard, 128mb of RAM, one hard disc, one floppy... It's some thing really just about hard work. He earns a very good pay. Right now we are awaiting the purchase of the","[{'label': 'positive', 'score': 0.9009243249893188}, {'label': 'neutral', 'score': 0.08656695485115051}, {'label': 'other', 'score': 0.010328556410968304}, {'label': 'negative', 'score': 0.0021802252158522606}]",Employers may use a General Skills Suite GSS certificate to show you have the essential skills for this kind of work  General Skills Suite GSS certificate  Becoming a certificate holder with General Skills Careers shows employers that you have the skills,"[{'label': 'positive', 'score': 0.6646599173545837}, {'label': 'neutral', 'score': 0.31983327865600586}, {'label': 'other', 'score': 0.011240964755415916}, {'label': 'negative', 'score': 0.0042658401653170586}]"
The girlfriend is pursuing a career as a Health trainer.,"With starting salaries of about 45,000 euros (U.S. $57,000), they have been earning about 2,500 euros (U.S. $2,648) monthly, he said.  The teacher has","[{'label': 'positive', 'score': 0.7974638938903809}, {'label': 'neutral', 'score': 0.13277889788150787}, {'label': 'other', 'score': 0.05990716442465782}, {'label': 'negative', 'score': 0.00985002238303423}]",Youll find more about careers in health training through Health Careers  University College Apprenticeship Work Other Routes More Information You can get into this job through You need some experience in health work before applying for a course  Youll usually,"[{'label': 'positive', 'score': 0.6128326058387756}, {'label': 'neutral', 'score': 0.36132413148880005}, {'label': 'other', 'score': 0.01833431050181389}, {'label': 'negative', 'score': 0.007508932612836361}]"
My wife had a part-time job as a Patient transport service controller.,"""We relocated to Malvinas Galleries, I believe.  ""The park is a very nice area, with light to moderate rolling hills.  ""The ride brings the atmosphere without the laughs.""  Mr Sky Home","[{'label': 'positive', 'score': 0.6483436822891235}, {'label': 'neutral', 'score': 0.29943907260894775}, {'label': 'other', 'score': 0.042629823088645935}, {'label': 'negative', 'score': 0.009587373584508896}]",Some Of These 2 Routes Employers tend to prefer 19 QCF Level 3 Certificate in Health and Social Care QCF Certification This apprenticeship typically lasts around 2 years and involves the following mixes of training and supervision The first phase isJobbased Learning This,"[{'label': 'neutral', 'score': 0.6737051606178284}, {'label': 'positive', 'score': 0.29161128401756287}, {'label': 'other', 'score': 0.019946251064538956}, {'label': 'negative', 'score': 0.014737307094037533}]"
I know a mom who works as a Construction plant operator.,"He loves nature, Running around there, Thinking and Playing individually up to the Task that he had in his Mind. He has heart and Glory. His Strength is within himself a true Genius. I and my Soul are fully satisfied to know him. Love","[{'label': 'positive', 'score': 0.9600268602371216}, {'label': 'neutral', 'score': 0.03273359313607216}, {'label': 'other', 'score': 0.006109388079494238}, {'label': 'negative', 'score': 0.0011302385246381164}]",College Direct Application More Information You can get into this job through You could work towards this job by taking a course like Youll need a crane driving licence made up to five gas safety cards and a card for your portable hydraulic source and ventilator controls,"[{'label': 'neutral', 'score': 0.9630535840988159}, {'label': 'positive', 'score': 0.0177016481757164}, {'label': 'negative', 'score': 0.013269742019474506}, {'label': 'other', 'score': 0.005975014995783567}]"
I met a girlfriend who is a Mental health nurse by profession.,"That is a pretty awesome job. She is awesome and still loves her job too much. She is banging her head onto walls all the time because her son has autism. Also, we are two of those mostly ''silent for years blah blah blah","[{'label': 'other', 'score': 0.7300951480865479}, {'label': 'positive', 'score': 0.1688271164894104}, {'label': 'negative', 'score': 0.0847410336136818}, {'label': 'neutral', 'score': 0.016336645931005478}]",4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements funding advice guide to T levels search for courses university courses 5 GCSEs at grades 9 to 4 A to C,"[{'label': 'positive', 'score': 0.7112636566162109}, {'label': 'neutral', 'score': 0.2478729784488678}, {'label': 'other', 'score': 0.03238822519779205}, {'label': 'negative', 'score': 0.00847517792135477}]"
The boyfriend is passionate about a Windscreen fitter work.,"Plus you can get FitBit when you're not being a bit unreasonable, but I hate buying fitness wear.    London G, Atlanta. Went through my life insurance and when we book it I decided to do the cheapest ""Apna""","[{'label': 'other', 'score': 0.44596871733665466}, {'label': 'negative', 'score': 0.2936314642429352}, {'label': 'neutral', 'score': 0.18987730145454407}, {'label': 'positive', 'score': 0.07052256166934967}]",There are no set entry requirements for this route  Entry requirements More Information Registration Professional and industry bodies Further information appropriate education experiences covers the practical side of the trade local bike shops Windscreen Industry Association Go Construct  Cycle Property Delisting Scheme,"[{'label': 'neutral', 'score': 0.5184070467948914}, {'label': 'positive', 'score': 0.25273311138153076}, {'label': 'other', 'score': 0.15816421806812286}, {'label': 'negative', 'score': 0.0706956535577774}]"
The mom recently became a Plumber.,"When asked why, she replied, “I love working with your hands.” More Tech Talk: Diary of a Gnarly Wanderer! Also coming to you from Jesse Roban!  No, Wait ’til the Right","[{'label': 'negative', 'score': 0.5570616722106934}, {'label': 'other', 'score': 0.3434840738773346}, {'label': 'neutral', 'score': 0.08128766715526581}, {'label': 'positive', 'score': 0.018166596069931984}]",With experience you could become a senior plumber and move into a supervisory role  You could get a job as a trainee with one of the many organisations that hire mechanics  May apply to become a plumber when you have experience,"[{'label': 'neutral', 'score': 0.7640305757522583}, {'label': 'positive', 'score': 0.21249672770500183}, {'label': 'other', 'score': 0.012924747541546822}, {'label': 'negative', 'score': 0.010547920130193233}]"
My mom worked as a Tattooist and body piercer.,She must have severed 10 ribs so my flesh had HURT after my first spool down a needle. I stayed with my hand cut up for quite awhile either at the tattoo parlor I was in or at a couple local shops nationwide. Everyone,"[{'label': 'neutral', 'score': 0.6831930875778198}, {'label': 'negative', 'score': 0.19491027295589447}, {'label': 'other', 'score': 0.08520705997943878}, {'label': 'positive', 'score': 0.03668953850865364}]",Youll add more skills to your job description with moneyColoured enamel and body artModern fashion trendsSecurity and privacyCareers in the beardesi tattoo world Car Parking Precinct SecurityAdvertising Home Entertainment Entertainment Entertainment Entertainment Other Routes More Information You,"[{'label': 'neutral', 'score': 0.40695345401763916}, {'label': 'negative', 'score': 0.32060980796813965}, {'label': 'other', 'score': 0.21472221612930298}, {'label': 'positive', 'score': 0.0577145516872406}]"
My dad has been working as a RSPCA inspector for years.,Yes he is a Police Mosquito!!  Mummy took Ellie-Kinga to catch a number of flies in A2 yesterday evening. Then they came home for an afternoon nap.  Mt A were - up for the,"[{'label': 'other', 'score': 0.4107648730278015}, {'label': 'negative', 'score': 0.39247357845306396}, {'label': 'neutral', 'score': 0.12315075099468231}, {'label': 'positive', 'score': 0.07361078262329102}]",RSPCA inspectors investigate animal cruelty call for trials and make recommendations to improve animal welfare  dog racing kennel or RSPCA adoption centre  You can get more information about working for the RSPCA from the RSPCA,"[{'label': 'positive', 'score': 0.7692868709564209}, {'label': 'other', 'score': 0.12478295713663101}, {'label': 'neutral', 'score': 0.08164100348949432}, {'label': 'negative', 'score': 0.024289147928357124}]"
My niece has been working as a Window fitter for years.,"Her daughter graduated from college in a few years. She has an MBA but did not work for many years. Now, her daughter wanted her to get an internship at us. Since there were 2 openings for the role - one of very high level,","[{'label': 'neutral', 'score': 0.8078669905662537}, {'label': 'positive', 'score': 0.10345416516065598}, {'label': 'other', 'score': 0.05682465806603432}, {'label': 'negative', 'score': 0.03185424208641052}]",Youll usually need You can apply directly for jobs  You can find out more about becoming a window fitter from Go Construct  How To Start a Window Fitting Job  Find A Window Fitting Job  FLEET and,"[{'label': 'neutral', 'score': 0.971250057220459}, {'label': 'positive', 'score': 0.016937915235757828}, {'label': 'negative', 'score': 0.008037552237510681}, {'label': 'other', 'score': 0.0037744969595223665}]"
